cancer_type	n	spearman	auc_ge_cut	mean_actual	mean_pred	bias	MAE_raw	MAE_oracle_offset	MAE_null
BRCA	743	0.647	0.818	24.3	22.7	-1.6	11.6	11.91	15.47
HNSC	509	0.606	0.791	24.3	27.9	3.6	9.33	8.57	10.86
THCA	464	-0.045		0.5	8.5	8	8.09	2.22	0.78
UCEC	403	0.669	0.845	13.9	22.1	8.3	13.96	10.24	15.22
LUAD	394	0.67	0.836	24.7	23.2	-1.5	8.82	9.02	11.93
BLCA	388	0.577	0.757	27.9	28.3	0.5	11.11	11.04	13.71
PRAD	387	0.603	0.924	12.4	11.5	-0.9	5.85	5.9	7.7
STAD	370	0.754	0.859	25	20.7	-4.3	12.38	12.35	16.24
LIHC	355	0.463	0.791	17.6	21.9	4.3	8.57	7.37	8.6
LUSC	355	0.513	0.709	34.9	32.6	-2.2	9.96	10.03	11.93
KIRC	297	0.231	1	6.2	6.9	0.7	3.93	3.86	3.63
CESC	290	0.476	0.723	20.3	25.4	5	9.69	8.28	9.57
COAD	278	0.527	0.955	12	16.2	4.3	7.96	6.5	7.67
KIRP	262	0.32	0.992	3	5.9	2.9	4.44	3.47	3.67
SARC	213	0.555	0.758	30.6	15.2	-15.4	18.04	13.66	15.83
PCPG	160	0.063		7.3	10.1	2.8	5.4	4.73	4.25
ESCA	154	0.428	0.681	34.8	30.1	-4.7	10.46	10.04	10.99
TGCT	149	0.12		15.8	18.4	2.6	7.23	6.73	6.5
PAAD	143	0.572	0.471	16	16.7	0.6	7.75	7.62	9.23
THYM	107	0.504		3.3	6.7	3.4	4.88	3.19	3.68
SKCM	104	0.39	0.706	18.3	28.5	10.2	12.35	7.82	8.39
READ	92	0.293	0.769	16.1	16.2	0.1	7.14	7.13	6.77
UVM	80	0.32		5.3	4.9	-0.4	3.16	3.16	3.19
MESO	78	0.622	0.757	18.9	20.6	1.7	6.48	6.37	8.54
ACC	77	0.59	0.907	10.7	18.1	7.4	9.87	6.77	7.45
KICH	65	0.378		2.7	2.8	0.1	2.22	2.23	3.58
UCS	56	0.446	0.644	33.5	32.3	-1.2	11.26	11.42	13.27
DLBC	47	0.407	1	14.6	17.7	3.1	6.83	6.21	7.03
CHOL	35	-0.066	0.471	21.5	20.4	-1.1	8.05	8.14	6.99
OV	10	0.527	0.875	41.5	30.3	-11.2	13.55	11.67	13.2
