Cancer	N	Mean_observed_HRD	Mean_predicted_HRD	Pearson	Spearman	MAE	RMSE	Bias_mean_signed_error	OOD_abstention
KICH	65	2.723	3.811	0.888	0.562	2.102	3.17	1.088	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
UCEC	403	13.859	20.35	0.758	0.703	11.766	13.962	6.492	4 OOD / 0 QC-fail / 4 non-reportable (1.0%)
STAD	370	24.989	22.661	0.738	0.767	10.785	13.657	-2.328	6 OOD / 0 QC-fail / 6 non-reportable (1.6%)
LUAD	394	24.713	25.336	0.721	0.717	8.331	10.586	0.622	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
BLCA	388	27.866	27.84	0.675	0.684	9.903	12.736	-0.026	7 OOD / 0 QC-fail / 7 non-reportable (1.8%)
PRAD	387	12.403	11.149	0.664	0.64	5.59	7.487	-1.255	1 OOD / 0 QC-fail / 1 non-reportable (0.3%)
HNSC	509	24.267	27.091	0.661	0.668	8.511	10.627	2.824	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
OV	10	41.5	34.04	0.636	0.612	12.405	17.756	-7.46	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
BRCA	743	24.349	29.31	0.632	0.666	13.177	15.926	4.961	5 OOD / 0 QC-fail / 5 non-reportable (0.7%)
LUSC	355	34.865	34.672	0.605	0.561	9.605	12.035	-0.193	1 OOD / 0 QC-fail / 1 non-reportable (0.3%)
COAD	278	11.957	14.464	0.601	0.588	6.716	8.309	2.507	5 OOD / 0 QC-fail / 5 non-reportable (1.8%)
KIRC	297	6.202	6.128	0.599	0.269	4.339	5.673	-0.074	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
ACC	77	10.688	16.662	0.585	0.603	9.075	11.361	5.974	3 OOD / 0 QC-fail / 3 non-reportable (3.9%)
PAAD	143	16.014	16.877	0.562	0.61	7.558	9.31	0.863	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
MESO	78	18.872	16.77	0.555	0.597	7.533	9.367	-2.102	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
DLBC	47	14.553	17.048	0.555	0.454	6.528	8.211	2.495	4 OOD / 0 QC-fail / 4 non-reportable (8.5%)
KIRP	262	2.985	3.839	0.548	0.302	3.506	5.005	0.854	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
THYM	107	3.28	6.15	0.541	0.59	4.353	5.633	2.87	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
LIHC	355	17.648	22.095	0.533	0.491	8.461	10.16	4.447	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
CESC	290	20.338	25.217	0.52	0.546	9.141	11.603	4.88	9 OOD / 1 QC-fail / 10 non-reportable (3.4%)
SARC	213	30.629	15.184	0.517	0.553	17.99	22.724	-15.445	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
ESCA	154	34.786	31.333	0.508	0.468	9.949	12.394	-3.453	3 OOD / 0 QC-fail / 3 non-reportable (1.9%)
SKCM	104	18.327	25.997	0.468	0.424	10.404	12.631	7.67	1 OOD / 0 QC-fail / 1 non-reportable (1.0%)
UCS	56	33.482	31.51	0.406	0.396	11.715	15.102	-1.972	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
UVM	80	5.312	3.393	0.392	0.354	3.537	4.55	-1.92	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
READ	92	16.098	15.456	0.327	0.337	7.183	9.358	-0.641	0 OOD / 1 QC-fail / 1 non-reportable (1.1%)
TGCT	149	15.758	17.777	0.162	0.13	7.251	8.778	2.019	2 OOD / 0 QC-fail / 2 non-reportable (1.3%)
CHOL	35	21.486	21.553	0.161	-0.105	8.566	10.231	0.068	1 OOD / 0 QC-fail / 1 non-reportable (2.9%)
PCPG	160	7.269	15.561	0.11	0.083	9.096	10.649	8.292	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
THCA	464	0.463	8.555	-0.036	-0.029	8.237	9.116	8.091	0 OOD / 0 QC-fail / 0 non-reportable (0.0%)
POOLED (all 30)	7065	18.311	20.198	0.721	0.758	8.972	11.71	1.887	52 OOD / 2 QC-fail / 54 non-reportable (0.8%)
MACRO (mean of 30)		17.923	18.928	0.52	0.475	8.444	10.604	1.005	mean abstention 1.0%
