cancer_type	n_A	r_A	rho_A	MAE_A	bias_A	n_B	r_B	rho_B	MAE_B	bias_B	d_r	d_rho	d_MAE	d_absbias
READ	92	0.327443162209815	0.337013204830813	7.18333732876003	-0.641499605980472	92	0.414249422488975	0.433811614520715	6.81388982926627	0.140183201259006	0.0868062602791601	0.096798409689902	-0.369447499493765	-0.501316404721467
UVM	80	0.391599840831493	0.35403850581243	3.53652172724241	-1.91969187686888	80	0.455195272194569	0.447521758869718	3.62802093991951	-2.40768061454509	0.0635954313630766	0.0934832530572882	0.0914992126770948	0.487988737676204
THCA	464	-0.0361268146837479	-0.0291922546144903	8.236719461339	8.09134565325947	464	0.00969485751326773	0.0156090600622414	6.3671522050227	6.19320188903338	0.0458216721970157	0.0448013146767317	-1.86956725631629	-1.89814376422609
BRCA	743	0.632327594760089	0.666159535384665	13.1766430320929	4.96129283824449	743	0.672928241750279	0.711888809563151	10.3898595250504	-2.2656293052638	0.0406006469901901	0.0457292741784859	-2.78678350704256	-2.69566353298069
CHOL	35	0.161206171476645	-0.105322661097823	8.56599066228869	0.0675526484982876	35	0.197552311179264	-0.119646543007127	8.2644593945528	0.0864250776290088	0.0363461397026187	-0.0143238819093039	-0.301531267735889	0.0188724291307213
ESCA	154	0.508140869707936	0.468255304252939	9.94901278617478	-3.45306495164529	154	0.536883199911799	0.481454645606918	9.42821027204572	-2.49189396518771	0.028742330203863	0.0131993413539789	-0.520802514129057	-0.961170986457581
UCS	56	0.406480972582432	0.396334232412123	11.7154488431552	-1.97222430654559	56	0.426999659001937	0.440207987389237	11.6863092363655	-1.63332789322587	0.020518686419505	0.0438737549771142	-0.029139606789645	-0.338896413319718
KIRC	297	0.598908391072696	0.269244557671103	4.33905232736636	-0.0736687197373773	297	0.61803635305228	0.306476999606887	4.3713505602098	0.200961389600293	0.0191279619795834	0.0372324419357842	0.0322982328434378	0.127292669862916
UCEC	403	0.758449448381351	0.703088873230411	11.76590631441	6.49179434427919	403	0.774436604010063	0.723583084424748	8.93902276864549	3.23466006239428	0.0159871556287113	0.0204942111943367	-2.82688354576452	-3.25713428188491
ACC	77	0.585160121164936	0.602658516318775	9.07515337417721	5.97391219317879	77	0.600430729285692	0.644881789061197	7.4396028385056	0.927349785879194	0.0152706081207552	0.0422232727424221	-1.63555053567161	-5.0465624072996
HNSC	509	0.660639478829844	0.668422150625163	8.51081985980028	2.82408033971306	509	0.673798223503785	0.693694715157857	7.8444248352703	0.581756975303039	0.0131587446739413	0.0252725645326938	-0.666395024529979	-2.24232336441003
DLBC	47	0.554560263682328	0.453764320524363	6.52827955610159	2.49506215989961	47	0.563105250416694	0.51564390448157	7.2972743136495	4.37484513651251	0.00854498673436588	0.0618795839572067	0.768994757547914	1.8797829766129
LUAD	394	0.720635662329177	0.716814767144305	8.33092754376104	0.622466475655495	394	0.719490752746574	0.706303011852505	8.57686354619845	0.911035184993419	-0.00114490958260338	-0.0105117552917996	0.245936002437407	0.288568709337924
TGCT	149	0.162385847161706	0.130152559072567	7.25097257763516	2.01886621047225	149	0.161148540063067	0.119891116936113	7.57749908510009	3.51939671507864	-0.00123730709863895	-0.0102614421364545	0.326526507464931	1.50053050460639
THYM	107	0.541353946392561	0.589711026306808	4.35254127757947	2.86970486447146	107	0.539152080237004	0.60021209064909	5.8939665294626	4.80268214677838	-0.00220186615555751	0.0105010643422827	1.54142525188313	1.93297728230691
LUSC	355	0.604798795209817	0.561041208007534	9.60486364675664	-0.192957038998508	355	0.602528910403661	0.568026240052423	9.6307793856995	-0.884126586862328	-0.00226988480615642	0.00698503204488843	0.0259157389428601	0.691169547863819
COAD	278	0.60067436323979	0.58752587092613	6.71641833675878	2.50672235691739	278	0.598161888639659	0.569244869602204	6.55246790369391	1.99268349272156	-0.00251247460013093	-0.0182810013239263	-0.163950433064875	-0.514038864195828
CESC	290	0.520440315693038	0.546036974433095	9.1410965499008	4.87953944880425	290	0.516314578806122	0.520834879472883	8.97267347117153	3.96526075178755	-0.00412573688691609	-0.0252020949602116	-0.168423078729264	-0.914278697016698
STAD	370	0.737986457235201	0.767201431656701	10.785345349279	-2.32783096302315	370	0.733663035341987	0.768382553389866	10.7563947189602	-2.23018475469735	-0.00432342189321411	0.00118112173316576	-0.0289506303187501	-0.0976462083258021
PRAD	387	0.663966136367855	0.640139886212253	5.59028619297813	-1.25454820528958	387	0.643925432880282	0.617688210204441	6.55993539825072	2.67886779859994	-0.0200407034875736	-0.0224516760078126	0.969649205272596	1.42431959331036
